ATLAS_ID,type
1160457911144448000,good
1144058741450752000,garbage
1020422041373900800,pm
1071355840534528000,pm
1164258191011741700,galactic
1183631560143159300,pm
1224438781265313800,good
1183313150123737100,garbage
1204315030422437900,garbage
1163155971075801100,pm
1004733610052927500,pm
1104433830450610200,good
1004133540544331800,good
1221949861461016600,garbage
1190334611332841500,good
1142602641383145500,pm
1161901301460516900,galactic
1210414951330955300,garbage
1044222040413438000,good
1234205590352642100,good
1144958261003321400,good
1172826760144748600,garbage
1122810920404844600,garbage
1154137761372733500,garbage
1152204851010420800,pm
1182417610122920000,pm
1153752041072705600,pm
1190129220833247300,good
1145028421224824900,good
1194609011160645700,garbage
1033654761052536900,pm
1172704840232009800,galactic
1235254750103421000,good
1023730901455224900,pm
1183015800441012300,good
1091729040020455500,good
1145646621544218700,pm
1170142700325355600,galactic
1203357450503045200,garbage
1050906301041131600,garbage
1173432090132152400,pm
1213241150274338900,garbage
1072059070383800400,pm
1223316780054921300,pm
1235856091210940500,pm
1074457221521703000,good
1140141810113626200,AGN
1204708111430336600,pm
1013251221373943900,pm
1231314030282127900,garbage
1013123450360725600,good
1193504591621324900,pm
1010122940151709800,pm
1181437400160157800,pm
1134436781580501100,garbage
1024619220301627500,galactic
1181514880222625900,pm
1144556341470937200,garbage
1212651041310834800,good
1122926540430246000,garbage
1012111771193049200,pm
1171613030293110900,galactic
1081034280362410100,galactic
1184911810062352500,pm
1173008501624750200,galactic
1035931811533947000,pm
1183603740193407100,galactic
1131923380253720700,pm
1213728481032323200,good
1172624890325532800,garbage
1231535651361718400,good
1130548131442819200,garbage
1151238860293357700,galactic
1081715800783700100,good
1120800270574223500,galactic
1033318580270530700,pm
1005827300172333200,garbage
1155332450115731600,garbage
1140140170235543700,galactic
1173216680292810900,galactic
1083208700262449300,pm
1235443100035842200,pm
1174731210302619800,pm
1180637150255055000,pm
1162203510515253400,pm
1162028441243910300,good
1152938390385721500,galactic
1123422430425350300,garbage
1130243820454559900,garbage
1015051511332618400,galactic
1124141160412528800,garbage
1084321710393606300,pm
1185721741131432100,galactic
1191310900281409700,galactic
1052207070133829800,good
1165546681803948200,galactic
1201856970221535400,galactic
1154523001215353000,pm
1093605160735408300,galactic
1184336201401827500,good
1173445930314514600,pm
1214922781164617900,pm
1171012101091508400,good
1132926050122318000,pm
1064833640464056500,garbage
1202800190341202100,garbage
1130140271254520000,good
1002738331453128900,good
1221930320551624900,good
1060126710370402500,good
1173746430452433100,galactic
1142810880132514000,good
1203537141214626000,garbage
1201848970224140500,galactic
1181523670234841300,garbage
1000920301133431000,pm
1090530980361339100,garbage
1165621650241454300,pm
1162051081535308000,galactic
1200050221103743200,garbage
1184540130072707300,galactic
1130635590294356200,good
1181518360213127400,pm
1180610121270821100,good
1212549410411659500,good
1055355860483211500,pm
1181805050184335600,galactic
1222829091400335600,galactic
1135108091374125300,pm
1021603911214334200,garbage
1031810021365809400,pm
1130609460282933500,galactic
1044341520003744000,good
1094725730233811200,good
1140857781531705600,good
1174809780230816000,pm
1160430891172823300,good
1184942540231950600,galactic
1173412920301125900,galactic
1034236620115116300,good
1190233780001554700,garbage
1183321300193657100,pm
1200703661170557200,galactic
1210643800215830800,good
1122357850801635600,good
1025929341172810000,pm
1232100030061543700,galactic
1161255061545550100,good
1005629600121520400,pm
1025104011322442000,pm
1154211570421842200,galactic
1181352190230200600,pm
1144138941061513500,good
1131753810070307100,garbage
1103909190121357600,galactic
1194515670103949600,garbage
1185122590063706400,pm
1134505440274530600,galactic
1144925341182050600,good
